family,dataset,concept,original_label,fisher_z_label,permutation_label,bayesian_label,all_agree
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),VILLAGE,founder_effect,founder_effect,founder_effect,founder_effect,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),WAR,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Bantu,Grollemund cultural (IRON/HOUSE/SPEAR),WATER,founder_effect,founder_effect,founder_effect,founder_effect,True
Indo-European,DIACL (cultural vocabulary),AXLE,ceiling,ceiling,ceiling,ceiling,True
Indo-European,DIACL (cultural vocabulary),HORSE,null_untestable,null_untestable,null_untestable,null_untestable,True
Indo-European,DIACL (cultural vocabulary),PLOUGH_N,null_untestable,null_untestable,null_untestable,null_untestable,True
Indo-European,DIACL (cultural vocabulary),PLOUGH_V,null_untestable,null_untestable,null_untestable,null_untestable,True
Indo-European,DIACL (cultural vocabulary),WHEEL,founder_effect,founder_effect,founder_effect,founder_effect,True
Indo-European,DIACL (cultural vocabulary),YOKE,ceiling,ceiling,ceiling,ceiling,True
Indo-European,IECoR (Steppe),DOG,null_untestable,null_untestable,null_untestable,null_untestable,True
Indo-European,IECoR (Steppe),FOREST,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Indo-European,IECoR (Steppe),LEFT,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Indo-European,IECoR (Steppe),MOUNTAIN,founder_effect,founder_effect,founder_effect,founder_effect,True
Indo-European,IECoR (Steppe),RIGHT,founder_effect,founder_effect,founder_effect,founder_effect,True
Indo-European,IECoR (Steppe),RIVER,null_untestable,null_untestable,null_untestable,null_untestable,True
Indo-European,IECoR (Steppe),SALT,null_untestable,null_untestable,null_untestable,null_untestable,True
Indo-European,IECoR (Steppe),SEA,null_untestable,null_untestable,null_untestable,null_untestable,True
Indo-European,IECoR (Steppe),TREE,borrowing_signature,borrowing_signature,borrowing_signature,borrowing_signature,True
Sino-Tibetan,ST pooled (sagartst+zhangst+peirosst),FIRE,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,ST pooled (sagartst+zhangst+peirosst),MOUNTAIN,borrowing_signature,null_untestable,null_untestable,null_untestable,False
Sino-Tibetan,ST pooled (sagartst+zhangst+peirosst),STONE,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,ST pooled (sagartst+zhangst+peirosst),TREE,borrowing_signature,null_untestable,null_untestable,null_untestable,False
Sino-Tibetan,ST pooled (sagartst+zhangst+peirosst),WATER,founder_effect,founder_effect,founder_effect,founder_effect,True
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),HORSE,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),MILLET,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),SILKWORM,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),TEA,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,STEDT expanded (MILLET/TEA/HORSE/WHEAT),WHEAT,founder_effect,null_untestable,null_untestable,null_untestable,False
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),BARLEY,borrowing_signature,null_untestable,null_untestable,null_untestable,False
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),RICE,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),SALT,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,STEDT full (RICE/SALT/BARLEY/YAK),YAK,selective_anchor,null_untestable,null_untestable,null_untestable,False
Sino-Tibetan,sagartst,BARLEY,null_untestable,null_untestable,null_untestable,null_untestable,True
Sino-Tibetan,sagartst,HORSE,null_untestable,null_untestable,null_untestable,null_untestable,True
