glottocode,language_name,source_dataset,concept,raw_cognate_id,harmonised_cognate_id,form,lat,lon,dist_homeland_km,retention
khal1275,Kiranti_Khaling,sagartst,TREE,3396-thetree,H0003,s.ʌ̄.ŋ,27.390595,87.510016,1778.723827574318,0
kham1282,Tibetan_Batang,sagartst,TREE,3396-thetree,H0000,x.ĩ.∼.⁵⁵.◦.ph.ũ.∼.⁵⁵,30.00795,99.111944,719.660588515105,0
kulu1253,Kiranti_Kulung,sagartst,TREE,3396-thetree,H0020,s.i:.tʃʰ.ɔ,27.690037,86.910944,1811.506621426413,0
lash1243,Burmish_Lashi,sagartst,TREE,3396-thetree,H0009,s.ə̰.k.⁵⁵,24.111512,98.311333,1329.2153112599874,0
limb1266,Kiranti_Limbu,sagartst,TREE,3396-thetree,H0021,s.i.ŋ.b.u.ŋ,27.272065,87.889909,1754.3589546328221,0
lush1249,Mizo_Lushai,sagartst,TREE,3396-thetree,H0008,tʰ.i.ŋ,22.60535,92.629457,1765.4760217143903,0
maru1249,Burmish_Maru,sagartst,TREE,3396-thetree,H0009,s.a̰.k.⁵⁵,24.939981,99.83,1188.2000081682343,0
nucl1310,Burmish_Rangoon,sagartst,TREE,3396-thetree,H0022,tθ.i.ʔ.⁴.+.p.ĩ.∼.²²,16.874207,96.190785,2159.4171097168146,0
oldb1235,Burmish_Old_Burmese,sagartst,TREE,3396-thetree,H0023,s.a.c.◦.p.a.ṅ,21.624974,97.126742,1631.1373031732667,0
oldc1244,Sinitic_Old_Chinese,sagartst,TREE,3678-thetree,H0024,C/.+.mˤ.o.k,34.101745,108.777868,448.7745727718275,0
pela1242,Burmish_Bola,sagartst,TREE,3396-thetree,H0009,s.a.k.⁵⁵,24.405004,98.234243,1302.401791237173,0
rabh1238,Rabha,sagartst,TREE,2648-thetree,H0025,p.a.n,25.820135,91.170064,1596.0857772457657,0
situ1238,rGyalrong_Maerkang,sagartst,TREE,3396-thetree,H0015,ʃ.ə._.ph.u,31.868614,102.295293,382.42303892245303,0
tang1334,Tangut,sagartst,TREE,3396-thetree,H0026,s.j.i.¹,38.477453,106.285383,436.9825453921547,0
thul1246,Kiranti_Thulung,sagartst,TREE,1424-thetree,H0002,d.ʌ.k.s.a,27.534944,87.609608,1761.839893233349,0
tsha1245,Bodic_Tshangla,sagartst,TREE,3396-thetree,H0008,ɕ.i.ŋ,29.325414,95.340883,1030.033069380369,0
ukhr1238,Naga_Ukhrul,sagartst,TREE,3396-thetree,H0027,tʰ.i.ŋ.+.r.o.ŋ,25.092617,94.37045,1438.025217355371,0
utsa1239,Tibetan_Lhasa,sagartst,TREE,3396-thetree,H0000,ɕ.i.ŋ.⁵⁵.◦.t.u.ŋ.⁵⁵,29.653441,91.171493,1342.5052526765019,0
wayu1241,Kiranti_Hayu,sagartst,TREE,3396-thetree,H0021,s.i.ŋ.pʰ.u.m,27.302102,86.099009,1902.3678956586232,0
xian1249,Burmish_Xiandao,sagartst,TREE,3396-thetree,H0009,ʂ.ɯ.k.⁵⁵,24.494153,97.753173,1313.8804221116504,0
zaiw1241,Burmish_Atsi,sagartst,TREE,3396-thetree,H0009,s.i.k.⁵⁵,24.193367,97.806689,1341.7666725001268,0
zhab1238,Qiangic_Zhaba,sagartst,TREE,3396-thetree,H0028,sʰ.ɛ.³³.◦.p.u.⁵⁵,30.538892,101.058397,567.117814082663,0
aona1235,Ao_Mongsen_Longchang,zhangst,TREE,2658,H0029,*si(ŋ/k),26.27,94.41,1334.2861662782211,1
apat1240,Apatani,zhangst,TREE,2658,H0029,*si(ŋ/k),27.19,93.73,1306.3871926688134,1
axiy1235,Yi_Mile,zhangst,TREE,2658,H0029,*si(ŋ/k),24.41,103.43,1178.8331988358536,1
bori1243,Bokar_Lhoba,zhangst,TREE,2658,H0029,*si(ŋ/k),29.06,94.22,1133.1330115671553,1
chan1313,Chang,zhangst,TREE,2176,H0030,*(b/p)ul,26.43,94.95,1285.8035143462516,0
daai1236,Daai,zhangst,TREE,2658,H0029,*si(ŋ/k),20.73,93.79,1874.81478135572,1
ersu1241,Ersu,zhangst,TREE,2658,H0029,*si(ŋ/k),29.29,102.21,656.8687899865671,1
hani1248,Hani_Caiyuan,zhangst,TREE,2658,H0029,*si(ŋ/k),23.26,101.64,1325.2665676798108,1
horp1239,Ergong_Danba,zhangst,TREE,2658,H0029,*si(ŋ/k),31.59,105.31,398.2305059825375,1
kach1280,Jingpho,zhangst,TREE,2176,H0030,*(b/p)ul,25.46,97.33,1238.5068277115624,0
kaya1315,Kayan_Pekon,zhangst,TREE,2658,H0029,*si(ŋ/k),19.52,97.41,1839.1364121276622,1
khum1248,Khumi,zhangst,TREE,2358,H0031,*kuːŋ,22.87,92.99,1719.924465261033,0
kinn1249,Kanauri,zhangst,TREE,2658,H0029,*si(ŋ/k),31.37,78.31,2417.6428451081974,1
kony1248,Konyak,zhangst,TREE,2176,H0030,*(b/p)ul,26.68,95.06,1257.5151356753129,0
lahu1252,Lahu_Yellow,zhangst,TREE,2658,H0029,*si(ŋ/k),21.21,100.97,1561.657401979799,1
lahu1253,Lahu_Lancang,zhangst,TREE,2658,H0029,*si(ŋ/k),22.53,99.91,1442.3535694800225,1
lian1251,Liangmei,zhangst,TREE,2658,H0029,*si(ŋ/k),25.16,93.54,1484.7323142297278,1
lisu1250,Lisu_Northern,zhangst,TREE,2658,H0029,*si(ŋ/k),26.0,98.0,1153.4723020700694,1
lizu1234,Lyuzu,zhangst,TREE,2658,H0029,*si(ŋ/k),27.93,101.28,827.2838040143585,1
loth1237,Lotha_Naga,zhangst,TREE,2658,H0029,*si(ŋ/k),26.01,94.04,1380.3561648639704,1
mana1288,Manang_Prakaa,zhangst,TREE,2658,H0029,*si(ŋ/k),28.64,84.05,2008.7807100942473,1
munc1235,Ngmüün,zhangst,TREE,2658,H0029,*si(ŋ/k),20.29,94.39,1887.331625190324,1
namu1246,Namuyi,zhangst,TREE,2658,H0029,*si(ŋ/k),28.59,101.9,739.8149357016125,1
naxi1245,Naxi_Yongning,zhangst,TREE,6123,H0032,*dziŋ,26.7,101.01,965.8927434833855,0
ngal1291,Matu,zhangst,TREE,2658,H0029,*si(ŋ/k),23.31,92.83,1690.38538303229,1
nort2722,Qiang_Longxi,zhangst,TREE,2658,H0029,*si(ŋ/k),31.54,103.38,389.0254036868315,1
nort2723,Pumi_Taoba,zhangst,TREE,2658,H0029,*si(ŋ/k),28.16,100.86,816.5264589643625,1
nung1282,Anong,zhangst,TREE,2658,H0029,*si(ŋ/k),27.29,98.73,992.8123230119365,1
nusu1239,Nusu_Northern,zhangst,TREE,2658,H0029,*si(ŋ/k),26.62,98.9,1050.9938010018714,1
nyis1236,Bengni,zhangst,TREE,2658,H0029,*si(ŋ/k),28.41,92.96,1274.440260487905,1
paok1235,Pa_O,zhangst,TREE,2658,H0029,*si(ŋ/k),20.21,97.6,1760.1703325831961,1
phom1236,Phom,zhangst,TREE,2176,H0030,*(b/p)ul,26.47,94.75,1295.3058601571809,0
quey1238,Queyu_Yajiang_Zhaba,zhangst,TREE,2658,H0029,*si(ŋ/k),30.31,100.81,600.8636267474817,1
sang1321,Sangtam,zhangst,TREE,2658,H0029,*si(ŋ/k),25.86,94.63,1355.0032104293748,1
sani1269,Yi_Sani,zhangst,TREE,2658,H0029,*si(ŋ/k),24.28,103.76,1192.2339615073279,1
shix1238,Xumi,zhangst,TREE,2658,H0029,*si(ŋ/k),28.28,100.65,811.5861880406679,1
sout2723,Yi_Mojiang,zhangst,TREE,2658,H0029,*si(ŋ/k),23.06,101.41,1351.1718893131542,1
sout2729,Pumi_Qinghua,zhangst,TREE,2658,H0029,*si(ŋ/k),26.87,99.46,1002.0297649270044,1
sumi1235,Sema_Sumi,zhangst,TREE,2658,H0029,*si(ŋ/k),26.0,94.42,1356.4316352331837,1
tang1336,Tangkhul,zhangst,TREE,2658,H0029,*si(ŋ/k),25.05,94.36,1442.4179195756658,1
tawa1289,Cuona_Menba,zhangst,TREE,2658,H0029,*si(ŋ/k),27.77,92.18,1378.5846982315834,1
tedi1235,Tiddim,zhangst,TREE,2658,H0029,*si(ŋ/k),23.61,93.52,1621.533954780017,1
thad1238,Thado,zhangst,TREE,2658,H0029,*si(ŋ/k),24.1,93.72,1565.6669582714248,1
tibe1272,Tibetan_Lhasa,zhangst,TREE,2658,H0029,*si(ŋ/k),28.37,90.19,1498.2093718985184,1
west2418,Magar,zhangst,TREE,2658,H0029,*si(ŋ/k),27.41,87.06,1815.1803177670772,1
wudi1238,Yi_Wuding,zhangst,TREE,2658,H0029,*si(ŋ/k),25.48,102.48,1068.5522927948527,1
wusa1235,Yi_Dafang,zhangst,TREE,2658,H0029,*si(ŋ/k),25.77,102.37,1038.1183765271992,1
xish1235,Yi_Nanjian,zhangst,TREE,2658,H0029,*si(ŋ/k),25.04,100.52,1156.8238573825931,1
youl1235,Jinuo_Youle,zhangst,TREE,6123,H0032,*dziŋ,22.05,101.06,1468.113776753375,0
zeme1240,Zeme,zhangst,TREE,2658,H0029,*si(ŋ/k),25.35,93.65,1461.4561759465382,1
